Unidade,Setor,Area
Paraguaçu,1,219
Paraguaçu,2,596
Paraguaçu,3,263
Paraguaçu,4,339
Paraguaçu,5,23
Paraguaçu,7,366
Paraguaçu,8,160
Paraguaçu,9,247
Paraguaçu,10,516
Paraguaçu,11,188
Paraguaçu,12,137
Paraguaçu,13,185
Paraguaçu,14,253
Paraguaçu,20,501
Paraguaçu,22,62
Paraguaçu,26,106
Paraguaçu,31,916
Paraguaçu,33,52
Paraguaçu,40,158
Paraguaçu,41,22
Paraguaçu,42,18
Paraguaçu,43,34
Paraguaçu,44,14
Paraguaçu,47,120
Paraguaçu,49,4
Paraguaçu,50,26
Paraguaçu,51,35
Paraguaçu,53,111
Paraguaçu,56,122
Paraguaçu,58,281
Paraguaçu,59,75
Paraguaçu,61,38
Paraguaçu,63,52
Paraguaçu,66,27
Paraguaçu,67,18
Paraguaçu,68,73
Paraguaçu,71,203
Paraguaçu,72,49
Paraguaçu,73,73
Paraguaçu,76,22
Paraguaçu,81,15
Paraguaçu,85,5
Paraguaçu,89,47
Paraguaçu,90,45
Paraguaçu,91,113
Paraguaçu,101,262
Paraguaçu,102,204
Paraguaçu,103,62
Paraguaçu,106,57
Paraguaçu,125,107
Paraguaçu,126,54
Paraguaçu,131,113
Paraguaçu,136,230
Paraguaçu,141,27
Paraguaçu,146,54
Paraguaçu,147,40
Paraguaçu,148,106
Paraguaçu,149,45
Paraguaçu,150,139
Paraguaçu,151,64
Paraguaçu,152,33
Paraguaçu,154,5
Paraguaçu,156,62
Paraguaçu,157,121
Paraguaçu,158,35
Paraguaçu,161,78
Paraguaçu,163,231
Paraguaçu,166,45
Paraguaçu,167,48
Paraguaçu,168,122
Paraguaçu,169,18
Paraguaçu,171,42
Paraguaçu,196,133
Paraguaçu,197,316
Paraguaçu,199,442
Paraguaçu,201,16
Paraguaçu,211,154
Paraguaçu,216,41
Paraguaçu,221,50
Paraguaçu,226,17
Paraguaçu,241,34
Paraguaçu,246,22
Narandiba,251,483
Paraguaçu,256,106
Paraguaçu,271,44
Paraguaçu,272,93
Paraguaçu,276,17
Paraguaçu,281,20
Paraguaçu,282,34
Paraguaçu,285,86
Paraguaçu,286,38
Paraguaçu,288,30
Paraguaçu,296,57
Paraguaçu,301,86
Paraguaçu,306,44
Paraguaçu,311,40
Paraguaçu,316,165
Paraguaçu,318,37
Paraguaçu,321,113
Paraguaçu,336,22
Paraguaçu,341,91
Paraguaçu,342,55
Paraguaçu,343,32
Paraguaçu,346,86
Paraguaçu,356,51
Paraguaçu,357,8
Paraguaçu,361,40
Paraguaçu,366,60
Paraguaçu,381,130
Paraguaçu,391,22
Paraguaçu,396,56
Paraguaçu,417,44
Paraguaçu,440,32
Paraguaçu,450,31
Paraguaçu,460,37
Paraguaçu,481,156
Paraguaçu,506,99
Paraguaçu,507,208
Paraguaçu,515,663
Paraguaçu,517,17
Paraguaçu,520,1287
Paraguaçu,521,310
Paraguaçu,522,62
Paraguaçu,523,122
Paraguaçu,525,23
Paraguaçu,528,187
Paraguaçu,535,113
Paraguaçu,536,60
Paraguaçu,540,33
Paraguaçu,560,15
Paraguaçu,565,18
Paraguaçu,570,90
Paraguaçu,571,55
Paraguaçu,580,62
Paraguaçu,595,99
Paraguaçu,605,8
Paraguaçu,606,24
Paraguaçu,607,34
Paraguaçu,610,24
Paraguaçu,615,154
Paraguaçu,625,18
Paraguaçu,626,3
Paraguaçu,628,29
Paraguaçu,630,28
Paraguaçu,631,101
Paraguaçu,632,51
Paraguaçu,633,192
Paraguaçu,634,38
Paraguaçu,635,126
Paraguaçu,636,114
Paraguaçu,638,134
Paraguaçu,640,186
Paraguaçu,641,30
Paraguaçu,645,97
Paraguaçu,646,22
Paraguaçu,648,29
Paraguaçu,651,4
Paraguaçu,655,112
Paraguaçu,663,133
Paraguaçu,667,84
Paraguaçu,671,72
Paraguaçu,683,30
Paraguaçu,686,27
Paraguaçu,690,595
Paraguaçu,692,305
Paraguaçu,694,29
Paraguaçu,700,31
Paraguaçu,702,163
Paraguaçu,704,0
Paraguaçu,705,18
Paraguaçu,706,52
Paraguaçu,707,37
Paraguaçu,708,56
Paraguaçu,709,24
Paraguaçu,710,280
Paraguaçu,711,467
Paraguaçu,717,200
Paraguaçu,721,64
Paraguaçu,722,52
Paraguaçu,723,19
Paraguaçu,724,30
Paraguaçu,725,14
Paraguaçu,726,48
Paraguaçu,727,53
Paraguaçu,729,182
Paraguaçu,730,11
Paraguaçu,731,34
Paraguaçu,732,68
Paraguaçu,734,13
Paraguaçu,737,12
Paraguaçu,738,56
Paraguaçu,739,24
Paraguaçu,740,12
Paraguaçu,741,168
Paraguaçu,742,50
Paraguaçu,743,17
Paraguaçu,744,39
Paraguaçu,745,46
Paraguaçu,746,38
Paraguaçu,747,17
Paraguaçu,748,89
Paraguaçu,749,19
Paraguaçu,751,247
Paraguaçu,752,96
Paraguaçu,753,52
Paraguaçu,754,90
Paraguaçu,755,13
Paraguaçu,756,78
Paraguaçu,757,5
Paraguaçu,759,38
Paraguaçu,761,87
Paraguaçu,762,1
Paraguaçu,767,212
Paraguaçu,768,304
Paraguaçu,774,32
Paraguaçu,778,11
Paraguaçu,779,10
Paraguaçu,780,16
Paraguaçu,784,30
Paraguaçu,786,66
Paraguaçu,790,268
Paraguaçu,791,27
Paraguaçu,793,109
Paraguaçu,794,123
Paraguaçu,796,16
Paraguaçu,798,69
Paraguaçu,803,41
Paraguaçu,809,238
Paraguaçu,811,100
Paraguaçu,812,332
Paraguaçu,816,369
Paraguaçu,817,242
Paraguaçu,818,561
Narandiba,819,111
Paraguaçu,822,557
Paraguaçu,823,437
Paraguaçu,824,27
Narandiba,826,208
Paraguaçu,828,58
Paraguaçu,833,34
Paraguaçu,839,16
Narandiba,840,48
Paraguaçu,842,153
Paraguaçu,845,367
Paraguaçu,846,254
Narandiba,850,25
Narandiba,851,24
Narandiba,852,26
Paraguaçu,854,32
Paraguaçu,855,83
Paraguaçu,857,308
Paraguaçu,858,250
Narandiba,859,848
Paraguaçu,860,36
Paraguaçu,864,50
Paraguaçu,866,12
Paraguaçu,867,22
Paraguaçu,868,395
Paraguaçu,869,155
Narandiba,870,51
Narandiba,871,52
Paraguaçu,874,45
Paraguaçu,877,20
Paraguaçu,878,14
Paraguaçu,880,17
Paraguaçu,881,47
Paraguaçu,883,24
Paraguaçu,885,70
Paraguaçu,887,15
Paraguaçu,890,116
Paraguaçu,892,225
Paraguaçu,895,150
Paraguaçu,896,171
Paraguaçu,898,198
Paraguaçu,1000,114
Paraguaçu,1002,29
Paraguaçu,1005,4
Paraguaçu,1008,58
Paraguaçu,1010,79
Paraguaçu,1013,21
Paraguaçu,1016,112
Paraguaçu,1017,113
Paraguaçu,1019,6
Paraguaçu,1022,73
Paraguaçu,1031,23
Paraguaçu,1034,18
Paraguaçu,1037,58
Paraguaçu,1038,34
Paraguaçu,1039,29
Paraguaçu,1040,92
Paraguaçu,1042,16
Paraguaçu,1043,7
Paraguaçu,1044,5
Paraguaçu,1045,23
Paraguaçu,1048,170
Paraguaçu,1049,98
Paraguaçu,1050,39
Paraguaçu,1054,48
Paraguaçu,1056,28
Paraguaçu,1057,291
Paraguaçu,1060,37
Paraguaçu,1061,104
Paraguaçu,1078,97
Paraguaçu,1080,94
Paraguaçu,1082,41
Paraguaçu,1085,34
Paraguaçu,1088,151
Paraguaçu,1090,17
Paraguaçu,1094,44
Paraguaçu,1096,29
Paraguaçu,1098,28
Paraguaçu,1100,11
Paraguaçu,1101,16
Paraguaçu,1103,50
Paraguaçu,1105,52
Paraguaçu,1108,29
Paraguaçu,1110,98
Paraguaçu,1112,181
Paraguaçu,1113,31
Paraguaçu,1115,60
Paraguaçu,1118,21
Paraguaçu,1120,10
Paraguaçu,1123,52
Paraguaçu,1126,32
Paraguaçu,1129,34
Paraguaçu,1132,62
Paraguaçu,1135,23
Paraguaçu,1138,25
Paraguaçu,1141,110
Paraguaçu,1142,368
Paraguaçu,1143,13
Paraguaçu,1146,14
Paraguaçu,1149,29
Paraguaçu,1152,142
Paraguaçu,1153,145
Paraguaçu,1155,20
Paraguaçu,1158,19
Paraguaçu,1161,111
Paraguaçu,1165,12
Paraguaçu,1170,662
Paraguaçu,1171,559
Paraguaçu,1172,404
Paraguaçu,1173,341
Paraguaçu,1174,238
Paraguaçu,1175,223
Paraguaçu,1176,542
Paraguaçu,1177,620
Paraguaçu,1178,35
Paraguaçu,1182,122
Paraguaçu,1185,197
Paraguaçu,1186,252
Paraguaçu,1187,239
Paraguaçu,1188,192
Paraguaçu,1189,339
Paraguaçu,1190,319
Paraguaçu,1191,187
Paraguaçu,1192,151
Paraguaçu,1193,131
Paraguaçu,1194,277
Paraguaçu,1195,249
Paraguaçu,1196,126
Paraguaçu,1197,22
Paraguaçu,1198,119
Paraguaçu,1200,33
Paraguaçu,1202,191
Paraguaçu,1205,338
Paraguaçu,1207,105
Paraguaçu,1209,127
Paraguaçu,1214,107
Paraguaçu,1215,270
Paraguaçu,1218,418
Paraguaçu,1221,196
Paraguaçu,1228,97
Paraguaçu,1233,72
Paraguaçu,1237,29
Paraguaçu,1240,17
Paraguaçu,1243,15
Paraguaçu,1245,90
Paraguaçu,1248,162
Paraguaçu,1252,13
Narandiba,1255,269
Paraguaçu,1260,68
Paraguaçu,1265,187
Paraguaçu,1266,95
Narandiba,1275,265
Narandiba,1276,276
Narandiba,1277,484
Narandiba,1278,83
Paraguaçu,1285,32
Paraguaçu,1286,44
Paraguaçu,1289,170
Paraguaçu,1290,48
Paraguaçu,1295,353
Paraguaçu,1300,476
Paraguaçu,1306,70
Paraguaçu,1308,66
Paraguaçu,1310,118
Paraguaçu,1314,225
Paraguaçu,1316,18
Paraguaçu,1321,127
Paraguaçu,1323,660
Paraguaçu,1324,215
Paraguaçu,1326,27
Paraguaçu,1327,46
Paraguaçu,1328,9
Paraguaçu,1331,276
Paraguaçu,1334,493
Paraguaçu,1335,302
Paraguaçu,1336,97
Paraguaçu,1341,90
Paraguaçu,1348,423
Paraguaçu,1351,15
Paraguaçu,1357,301
Narandiba,1360,54
Narandiba,1362,20
Narandiba,1364,30
Paraguaçu,1366,37
Paraguaçu,1370,30
Paraguaçu,1373,58
Paraguaçu,1375,337
Paraguaçu,1377,348
Paraguaçu,1379,298
Paraguaçu,1382,23
Narandiba,1386,11
Paraguaçu,1396,170
Paraguaçu,1399,48
Paraguaçu,1405,44
Paraguaçu,1410,109
Paraguaçu,1411,113
Paraguaçu,1412,107
Paraguaçu,1415,49
Paraguaçu,1418,74
Paraguaçu,1421,23
Paraguaçu,1423,12
Paraguaçu,1434,25
Paraguaçu,1436,351
Paraguaçu,1440,80
Paraguaçu,1443,14
Paraguaçu,1450,31
Paraguaçu,1453,278
Paraguaçu,1454,4
Paraguaçu,1456,10
Paraguaçu,1458,46
Paraguaçu,1459,25
Paraguaçu,1460,104
Paraguaçu,1461,216
Paraguaçu,1462,15
Paraguaçu,1464,8
Paraguaçu,1465,121
Paraguaçu,1470,137
Paraguaçu,1471,111
Paraguaçu,1475,141
Paraguaçu,1480,163
Paraguaçu,1482,30
Paraguaçu,1484,26
Narandiba,1487,302
Paraguaçu,1490,248
Paraguaçu,1493,57
Paraguaçu,1495,15
Paraguaçu,1497,159
Paraguaçu,1498,123
Paraguaçu,1499,125
Paraguaçu,1500,250
Paraguaçu,1502,179
Paraguaçu,1505,16
Paraguaçu,1507,24
Narandiba,1510,76
Narandiba,1512,44
Narandiba,1513,387
Narandiba,1514,81
Paraguaçu,1515,166
Paraguaçu,1521,1447
Paraguaçu,1522,147
Paraguaçu,1525,288
Paraguaçu,1527,7
Paraguaçu,1528,8
Narandiba,1530,178
Narandiba,1531,68
Narandiba,1532,562
Narandiba,1534,112
Narandiba,1535,1202
Narandiba,1536,16
Narandiba,1538,206
Paraguaçu,1540,6
Narandiba,1545,806
Narandiba,1548,209
Narandiba,1551,326
Narandiba,1552,564
Narandiba,1554,122
Narandiba,1557,98
Paraguaçu,1563,110
Paraguaçu,1564,25
Paraguaçu,1572,32
Paraguaçu,1573,62
Paraguaçu,1574,60
Paraguaçu,1575,299
Paraguaçu,1576,137
Paraguaçu,1577,317
Paraguaçu,1578,172
Paraguaçu,1579,525
Narandiba,1580,103
Narandiba,1582,401
Narandiba,1583,454
Narandiba,1584,98
Narandiba,1585,26
Narandiba,1587,32
Paraguaçu,1588,201
Paraguaçu,1592,65
Paraguaçu,1595,31
Paraguaçu,1598,396
Paraguaçu,1600,29
Paraguaçu,1601,317
Paraguaçu,1602,13
Paraguaçu,1603,36
Paraguaçu,1604,2
Paraguaçu,1608,347
Paraguaçu,1609,402
Paraguaçu,1610,312
Paraguaçu,1611,276
Paraguaçu,1612,249
Paraguaçu,1613,430
Paraguaçu,1615,362
Paraguaçu,1620,44
Paraguaçu,1625,243
Paraguaçu,1626,130
Paraguaçu,1627,15
Paraguaçu,1630,130
Paraguaçu,1631,365
Paraguaçu,1635,45
Paraguaçu,1642,228
Paraguaçu,1644,5
Paraguaçu,1645,217
Paraguaçu,1648,54
Paraguaçu,1650,36
Paraguaçu,1652,37
Paraguaçu,1653,61
Paraguaçu,1654,1369
Paraguaçu,1655,64
Paraguaçu,1656,45
Paraguaçu,1657,251
Paraguaçu,1659,112
Paraguaçu,1660,48
Paraguaçu,1661,8
Paraguaçu,1662,40
Paraguaçu,1664,39
Paraguaçu,1666,60
Paraguaçu,1668,27
Paraguaçu,1670,84
Paraguaçu,1671,87
Paraguaçu,1672,64
