DESC_OPERAÇÃO,DATA,SETOR,TALHÃO,AREA
FOSFATAGEM (S/GRADAGEM),2025-01-02,636,993,108.43
FOSFATAGEM (S/GRADAGEM),2025-01-13,1505,993,14.93
FOSFATAGEM (S/GRADAGEM),2025-01-13,635,993,119.88
FOSFATAGEM (S/GRADAGEM),2025-01-13,595,993,37.32
FOSFATAGEM (S/GRADAGEM),2025-01-13,156,4,3.65
FOSFATAGEM (S/GRADAGEM),2025-01-13,156,5,16.01
FOSFATAGEM (S/GRADAGEM),2025-01-13,1661,4,0.99
FOSFATAGEM (S/GRADAGEM),2025-01-13,1661,5,0.54
FOSFATAGEM (S/GRADAGEM),2025-01-13,1661,6,1.73
FOSFATAGEM (S/GRADAGEM),2025-01-17,1465,993,115.86
FOSFATAGEM (S/GRADAGEM),2025-01-17,460,993,35.84
GESSAGEM S/GRADAGEM,2025-01-13,1505,993,14.93
GESSAGEM S/GRADAGEM,2025-01-13,635,993,119.88
GESSAGEM S/GRADAGEM,2025-01-13,156,4,3.65
GESSAGEM S/GRADAGEM,2025-01-13,156,5,16.01
GESSAGEM S/GRADAGEM,2025-01-13,1661,4,0.99
GESSAGEM S/GRADAGEM,2025-01-13,1661,5,0.54
GESSAGEM S/GRADAGEM,2025-01-13,1661,6,1.73
GESSAGEM S/GRADAGEM,2025-01-17,1465,993,115.86
GESSAGEM S/GRADAGEM,2025-01-17,460,993,35.84
GESSAGEM S/GRADAGEM,2025-01-20,150,993,15.07
CALAGEM (S/GRADAGEM),2025-01-13,1505,993,14.93
CALAGEM (S/GRADAGEM),2025-01-13,635,993,119.88
CALAGEM (S/GRADAGEM),2025-01-13,156,4,3.65
CALAGEM (S/GRADAGEM),2025-01-13,156,5,16.01
CALAGEM (S/GRADAGEM),2025-01-13,1661,4,0.99
CALAGEM (S/GRADAGEM),2025-01-13,1661,5,0.54
CALAGEM (S/GRADAGEM),2025-01-13,1661,6,1.73
CALAGEM (S/GRADAGEM),2025-01-17,1465,993,115.86
CALAGEM (S/GRADAGEM),2025-01-17,460,993,35.84
CALAGEM (S/GRADAGEM),2025-01-20,1209,993,52.07
CALAGEM (S/GRADAGEM),2025-01-20,150,993,15.07
